URL || System Output || ODP Ground Truth
http://www.ggss.org || The Marin basketball tournament , sponsored by the GGSS Foundation , ca , features an GGSS Foundation Inc field annually . || Annual summer California-based boys and girls tournament sponsored by the GGSS Foundation , a youth and community benefit organization .
http://www.zerstoerung.de/ || A commercial 130xe , 400 , 65xe , 800 , 800xl emulator for dos and windows . || A freeware 800XL emulator for Windows/SDL .
http://www.neworleanscricket.homestead.com/ || Club located in LLC . Contains information about history , mission , schedule , statistics , members , pictures and contacts . || A club located in New Orleans , Louisiana . Contains information about members , past and present match results and ground details .
http://strikerscc.tripod.com/ || The official home page with match reports , information and news . CSC Corporate Domains , Inc . || The official site with match reports , the ground , statistics , and events . A member of the Northern California Cricket Association .
http://www.hanover.edu/athletics/women/softball/ || Official site of the Panthers with statistics , player profiles , a coach 's biography , and news items . || Official site of the Panthers with statistics , player profiles , a coach 's biography , and news items .
http://www.newyorkasa.org/ || New York . Information on softball tournaments , teams , umpires , and players . || New York ASA . Information on softball tournaments , teams , umpires , and players .
http://www.studlife.com/ || Twice-weekly student newspaper of missouri state university in springfield . || Thrice-weekly student newspaper of Washington University in St. Louis .
http://www.lcpioneers.com/sports/track/index || Sports site . Roster , schedule , results , season bests , coaching staff , history , school records , recruiting questionnaire , past season information , and links . || Pioneers official site . Schedule , roster , coaching staff , and past season information .
http://www.amigaemulator.org/ || Information , faqs and support for all 1 users . Includes licensed emulation and 1 rom and os files . || Open source emulator for Unix/Linux . Emulates Amiga 500/1000/2000 . Ports are available for Amiga , BeOS , DOS , MacOS , and Windows .
http://bochs.sourceforge.net || Open source bochs for linux and windows . || An open source emulator for all popular architectures and operating systems .
http://www.ukathletics.com/sports/w-softbl/kty-w-softbl-body.html || Official site with schedule , roster , news , and statistics for Crimson Tide softball . || Official site with schedule , roster , news , and statistics for Wildcat softball .
http://www.dbdla.com/ || Offers web design and development services . Overview of offerings , company profile , portfolio , and links . Located in Melbourne . || Offers site design . Located in El Monte , California .
http://www.wiacsports.com/windtrak/index.html || Composite schedule and results , news , championship information , conference history and links for Deluxe Small Business Sales , Inc 's US . || Composite schedule and results , news , championship information , conference history and links for WIAC women 's indoor track and field .
http://users.skynet.be/sky39147/ || An open source sdl using emulator for linux and windows/cygwin . || Features NoSTalgia an emulator for MacOS X and PowerST a suspended emulator for MacOS 8/9 .
http://www.letu.edu/opencms/opencms/_Student-Life/athletics/Women/Basketball/ || Lady jackets - official web site with schedule , roster , news , photos , statistics . || Lady Jackets - official web site with schedule , roster , news , photos , statistics .
http://www.uvm.edu/theview/ || Weekly e-zine featuring work by students and faculty of the college of communication and information sciences at the University of Vermont in Burlington . || Weekly publication covering faculty , staff , students , programs and research at the University of Vermont in Burlington .
http://tools.ietf.org/html/rfc2199 || MaXIM-11 - mapping between X. 400 / Internet mail and Mail-11 mail . C. allocchio . January 1998 . || Request for Comments Summary RFC Numbers 2100-2199 . A. Ramos . January 1998 .
http://green-beast.com/ || Provides advice on website usability and accessibility to corporate and government clients throughout Mike . Company information , details of services , and various accessibility articles and resources . || Web developer Mike Cherim explains his focus on usability and accessibility , and provides his design portfolio , weblog and client comments . Nottingham , New Hampshire .
http://www.misterbasketball.com/ || Doug california-based boys and girls tournament sponsored by the ggss foundation , a youth and community benefit organization . || Mr. Basketball and Miss Basketball Tournaments .
http://www.reportermag.com/ || Monthly student magazine of the Rochester Institute of Technology in Rochester . || Student publication of the Rochester Institute of Technology in New York .
http://www.snc.edu/athletics/trackw/ || De Pere 's official site . Coaching staff , schedule , roster , school records , and past season information . || Green Knight women 's official site . Coaching staff , schedule , roster , school records , and past season information .
http://www.essexstudent.com/student_media/the_rabbit/latest_and_archive/ || Newspaper of the University of Essex in Colchester . || Newspaper of the University of Essex Students Union .
http://www.concordecc.co.uk || Includes news , history , photographs , fixtures , results , league tables and match reports for the Surrey based club . || Includes news , fixtures and results , match reports for Surrey based club .
http://www.mtsu.edu/~sseo/Mighty.html || The symposium is a forum for researchers and practitioners working on all aspects of graph visualization and representation . The range of topics considered in Middle Tennessee State University includes graph algorithms , graph theory , geometry , topology , visual languages , visual perception , information visualization , computer-human interaction , and graphic design . Colonial williamsburg 20 -- 23 september 2000 . || The 41st Midwest Graph Theory Conference . Middle Tennessee State University , Murfreesboro , TN , USA ; 13 -- 14 September 2005 .
http://www.worldofspectrum.org/x128/ || A freeware kay 1024 , pentagon 128/512/1024 , profi 1024 , scorpion zs 256 , and spectrum 128 emulator for windows . || A freeware 48 , 128 , +2 , +2 A , +3 , Pentagon , and Scorpion emulator for DOS . Also available is an older open source Unix port .
http://www.northdowncricketclub.co.uk/ || News , club information , results , fixtures , statistics , and contacts . || News , club information , results , fixtures , statistics , and contacts .
http://www.transam.co.uk/vmware.html || Offers a package that enables Nominet UK , cd rom , and Oxford in a Mr Ben Peters virtual machine . Also provides tipps for setting up windows for workgroups 3.11 inside vmware . || London-based IT consultancy and systems integrator that provides VMware knowledge .
http://www.stortfordsquash.co.uk || Information on membership , tournaments , leagues and social activities . Located in Oxford . || Team news , competitions , membership details and information about social activities . Located in Bishop 's Stortford , England .
http://www.uwrf.edu/sports/softball.home.php || Official site of the Falcons . Features coach profiles , schedules , team records , and statistics . || Official site of the Falcons . Features coach profiles , schedules , team records , and statistics .
http://HoopsMania.com || A mayb regional basketball tournament for all boys and girls basketball teams , KANDKI held in Grand Island area air-conditioned gyms . || Second largest tournament in Nebraska that features 200 boys and girls teams from 4th to 9th grade .
http://www.ecupirates.com/sports/w-softbl/ecu-w-softbl-body.html || Official site with news , schedules , statistics and roster for lady eagle softball . || Official site with news , schedule , statistics and roster for Pirate softball .
http://strategical.net/ || Web hosting , shell accounts and ircd hosting . || Strategic Web Solutions . Shell Accounts , Web Hosting , Domain Registration , Email Accounts all very stable !
http://www.wyvernsquash.co.uk || Information on membership , tournaments , leagues and social activities . Located in Somerset . || Teams , membership and juniors information . Located in Taunton , Somerset , England .
http://www.purduelacrosse.com/ || Bears . Includes schedule with results , roster , statistics and photos with information on the booster club and annual camp . || Boilermakers . Includes schedule , roster , photos , statistics , contact information and current events .
http://www.picturetrail.com/ || Offers a photo sharing and social networking service . Photos are stored in a timeline with geographical tagging . Members can comment on others pictures . || Photo sharing site offering digital prints of photographs and offsite linking .
http://cacoprepsports.blogspot.com/ || Daily news , event reports , interactive forums , player recruiting , and team rankings from Prep Sports . || Weekly blog analytical entries , Top 10 San Francisco Bay area and Colorado state high school team rankings from Will Whelan .
http://www.nagcc.co.uk || Includes news , fixtures , results and history of the Oxford based wandering club . || Includes news , fixtures , match reports and photographs of the Kent based club .
http://www.carleton.edu/curricular/PEAR/club/wlacrosse.html || Panthers . Includes schedule with results , roster , statistics , news , history and information on coaches . || Knights . Pictures , play highlights , history , captains listing and contact information .
http://ramblinwreck.cstv.com/sports/w-track/geot-w-track-body.html || Yellow jacket men 's official site . News , roster , schedule , results , and past season information . || Yellow Jacket women 's official site . News , roster , schedule , results , and past season information .
http://www.scarboroughsoftballassociation.com/ || Offers programs for the youth of the local area in Scarborough , MarkMonitor , Inc . Calendar , park , registration , photographs , programs , teams , results , and contacts . || Fastpitch Softball Leagues and Rep Teams for Scarborough , Ontario , Canada . Schedules , standings , results , tournaments , and contacts .
http://www.mtmc.edu/athletics/track/index.aspx || Concordia official site . Coaching staff , news , season preview , roster , schedule , and links . || Lancers official site . Coaching staff , schedule , and roster .
http://www.azcricket.com/ || Official website of the Arizona Cricket Association . Contains information about grounds , teams , schedule , standings , statistics and history . || Official website of the Arizona Cricket Association . Contains information about grounds , teams , schedule , standings , statistics and history .
http://www.schneier.com/cryptography.html || Conducts annual conference indocrypt and schneier on cryptography . Also promotes research activities in cryptology and security in india . || A review of cryptography protocols , algorithms , and design .
http://www.jbacademy.com/ || A unique training program for elementary boys and girls that focuses on individual basketball ballhandling and dribbling drills . || A limited enrollment is offered within a curriculum for learning fundamentals . Jim 's 10 Steps to Success program is offered additionally for motivating young people for success in life .
http://www.rexibit.com || Specializes in vector graphic , printing graphic , web graphic , web design in html and Services , web design in flash , 3d modeling design and animations . || North Georgia web services offering website design , graphic design , web hosting , search engine optimization , and web marketing .
http://www.venuecom.com || Offers site design , database solutions , and e-commerce applications . Located in Lexington , Clayton , DNC Holdings , Inc . || Offers site design , hosting , domain name registration , e-commerce solutions , promotion , and video production .
http://www.morris.umn.edu/athletics/womens/softball/ || Dragons . News items , scores , statistics , roster , game schedule and recruiting information . || Cougars . News items , listing of players , photographs , scores and individual records .
http://www.dickinsonstate.edu/softball.asp ||  || The official site of the Blue Hawks news , statistics , schedule and roster .
http://www.ispa-cost.org/ || Sale , a forum for regional and national simulation societies to promote the advancement of modelling and simulation in industry , research and development . || Promotes parametric cost modeling techniques and methodologies and the related fields of risk analysis , econometrics , design-to-cost , technology forecasting , and management .
http://riceowls.cstv.com/sports/w-baskbl/rice-w-baskbl-body.html || Headlines , roster , scoreboard , schedule . || Contains news , schedule , roster , statistics for the Lady Owls .
http://www.uvm.edu/~sportspr/track/ || UVM . News articles , game schedule , past results , coaching staff , statistics , past season summaries and statistics . || Catamounts . Contact information , roster , game schedule , season outlook , coaching staff and recruiting questionnaire .
http://www.oundlesquashclub.co.uk || Information on facilities , leagues , teams and membership . Located in Oxford , Oundle , england . || Information on leagues , teams and membership . Located in Oundle , Northamptonshire , England .
http://ware.play-cricket.com/home/home.asp || Includes news , fixtures , results and statistics for the staffordshire based club . || Includes news , fixtures , results , contacts and location for the Hertfordshire based club .
http://impactgold.com/ || Girls fastpitch organization based in Houston , Texas . || A travel team based out of Spring Klein in Houston . News , general information , and links .
http://www.nfca.org/ || Learn defensive softball skills with nfca 's defensive softball video series designed for fastpitch players and coaches . || A gathering place for coaches , players , umpires and fans of fastpitch .
http://www.computersciencelab.com/RPNCalc.htm || A interactive computer math system that uses standard javascript as the scripting language , and a collection of re-usable math oriented components such as a PDR Ltd implementation , and a mathml viewing / editing control . || This Windows programs emulates a fully programmable HP29C RPN calculator that has been augmented with linear curve fit and graphing capability . It was written to serve as a fun introduction to computer programming .
http://www.kevinpietersen.com/ || A tribute to the England and Pietersen bowler , best remembered for his exploits during the clientUpdateProhibited of 2015 in Pietersen MBE - International Cricketer under the captaincy of Kevin Pietersen . The official harold larwood cricket web . || Official website of the Hampshire and England player . Profile , statistics , gallery , and news .
http://users.ox.ac.uk/~ouwcc/ || Contains history of women 's cricket , News , oxford cricket schedule , details of development of women 's cricket , player profiles and contact information . || The club plays a mixture of friendly and competitive cricket and also enters the BUSA competition .
http://www.gostanford.com/sports/w-softbl/stan-w-softbl-body.html ||  || Official site with roster , schedule , statistics and news for Cardinal softball .
http://www.gpacsports.com/sport/4/7.php || Official site with press releases , highlights , season reviews and scores . || Official site with press releases , highlights , season reviews and scores .
http://www.angelfire.com/ny3/superbag/ || Northern california and nevada asa adult men superbag , women 's , coed and slow-pitch softball tournaments . Qualifiers , regionals , and CSC . || This is the official Homepage of the Superbag , a softball tournament held on the third Sunday in August every year in New York between the JFK Gaels and the Brewster Bears .
http://www.buyucom.com/ || Offers web design , hosting , and content management development . Based in Louisiana , United States . || Offers design , hosting and e-commerce solutions . Based in Louisiana , United States .
http://mysecretbase.com/ || Mysecretbase and US based solutions provider specializing in data and systems development in web environments . || Specializing in design and hosting of database-driven web sites . Includes client portfolio .
http://vucommodores.cstv.com/sports/w-track/vand-w-track-body.html || Wildcats official site . News , roster , coaching staff , schedule , results , season bests , school records , and past season information . || Commodore news , roster , coaching staff , schedule , results , pictures and past season information .
http://dallurawebdesign.com/ || Offers site design , flash , and graphics . || Offers site design , shopping carts , domain name registration and graphics .
http://www.friars.com/sports/w-track/prov-w-track-body.html ||  || Friar women 's official site . News , schedule , results , roster , coaching staff , and past season information .
http://www.dailytrojan.com/ || Stories from the student newspaper of the University of Southern California . || Student newspaper of the University of Southern California .
http://crowcombe.play-cricket.com/home/home.asp || Presents news , fixtures , history , averages , photographs and contact details for the Crowcombe based club . || Information , fixtures , results and contact details for the West Somerset based village club .
http://www.ssaasoftball.com || Southern Softball Association of America is the governing body for the sport of Softball in canada , providing ssaa for all canadians , through the development , delivery and promotion of programs and services , both domestically and internationally . || A National Softball organization , established in North Carolina in 1984 . Sanctioning all types of softball from Adult , Girl 's FastPitch , Girl 's and Boy 's Slow Pitch
http://www.goresbrookcc.co.uk/ || Includes news , history , fixtures , results , averages , league tables and photographs for the club based in Essex . || Includes news , history , fixtures , results , match reports , league tables and averages for the Essex based club .
http://www.utlacrosse.com/ || Coaching staff , practice and game schedule , player roster and statistics , pictures and news releases . || Season preview , player roster , pictures , alumni information , related links and contact information .
http://www.PhoneHog.com/ || Oversee by visiting sites , signing up for offers , taking surveys , and referring friends . Points can be redeemed for merchandise . || Earn free long distance minutes by visiting sites , signing up for offers , shopping online , and referring friends .
http://www.topix.com/nba/detroit-pistons || Offers News , schedule , scores , roster and stats . || News on the Detroit Pistons continually updated from thousands of sources around the net .
http://www.basketballvictoria.com.au || Home of the thoroughbreds . News , calendar , resource library , photo galleries . || News , calendar , hoops school , officials .
http://www.concordiaclippers.com/sports/sball/index || Cross Country . Scores , statistics , roster , photographs , press releases and coaching staff . || Clippers . Scores , statistics , roster , game schedule and press releases .
http://www.badgerlacrosse.org/ || Contact information , player roster , game schedule , related links , alumni details , pictures and history of the club . || Badgers . Contact information , player roster , game schedule with results and directions .
http://www.loopip.com/directory.html ||  || A commercial search engine solution that parses the RDF dump to import the entire Open Directory onto a local server . The URL listings can be spidered and indexed to build a large full-text search engine .
http://www.butlersports.com/sports/w-softbl/index || Official site with schedule , roster , news , and statistics for Butler softball . || Official site with schedule , roster , news , and statistics for Bulldog softball .
http://gwcc.hitscricket.com/default.aspx || Includes news , history , fixtures , results , averages , PDR Ltd and photographs for the club based in Essex . || Includes news , history , fixtures , results , averages and photographs for the club based in Essex .
http://www.villanova.com/sports/c-otrack/nova-c-otrack-body.html ||  || Wildcats official site . News , roster , schedule , results , camps , coaching staff , pictures , recruiting questionnaire , and past season information .
http://www.baylorbears.com/sports/w-softbl/bay-w-softbl-body.html || Official site with roster , schedule , statistics and news for cyclone softball . || Official site with roster , schedule , statistics and news for Lady Bear softball .
http://www.student-support.co.uk/ || Interactive site allows students to solve a real world problem using science and mathematics . Learn about vectors by using real-time weather maps and by tracking real planes flying in the Student Support Centre . || Home based learning materials to supplement classroom work using Maths and English videos for ages 5-18 . With over 40,000 students the results speak for themselves .
http://southcoloradan.asf.adams.edu/ || Daily student newspaper of colorado state university in Alamosa . || Student newspaper of Adams State College in Alamosa .
http://shakti.hitscricket.com || Founded in 1873 the club has the reputation of being the oldest operating cricket club in the united states . Contains information about fixtures , new , history , activities , photos and links . Location : staten island new york . || Located in Atlanta Georgia , the club is a member of the Atlanta Georgia Cricket Conference . Contains information about history , fixtures , news and statistics .
http://hp.giesselink.com/emu48.htm || An open source Service emulator for Windows . || An open source HP38/39/40 / 48/49 emulator for Windows .
http://www.math.sc.edu/~filaseta/SERMON2005/SERMON2005.html || In honour of SERMON 's University of South Carolina . Johns hopkins university baltimore , md , usa ; 14 -- 17 may 2002 . On-line registration . || South-East Regional Meeting on Numbers . University of South Carolina , Columbia , SC , USA ; 15 -- 17 April 2005 .
http://www.aggieathletics.com/sports/c-xctrack/tam-c-xctrack-body.html || Maroon official site . News , schedule , results , roster , coaching staff , season bests , school records , history , pictures , kansas relays information , camps , and past season information . || Aggies official site . News , schedule , results , roster , coaching staff , facilities , and past season information .
http://www.peachbelt.com/sports/sball/index || Cross Country . Contains press releases , pictures , roster of players , game schedule , scores , and archived news . || Contains current standings , championships coverage , links to member schools , and news items .
http://www.uconnhuskies.com/sports/w-lacros/conn-w-lacros-body.html || Huskies . News items , roster , games listing and results , coaching staff and training camp details . || Team roster and information on coaching staff , season schedule , statistics , results , records and news .
http://www.softball.ca/ || The Ottawa promotes senior softball worldwide for men and women over the age of National Team . They conduct the Softball Canada each year . || Softball Canada is the governing body for the sport of Softball in Canada , providing softball opportunities for all Canadians , through the development , delivery and promotion of programs and services , both domestically and internationally .
http://optimists.hitscricket.com/home/default.aspx || Includes news , fixtures , results , averages and photographs for the club based in essex . || Includes news , fixtures , results , averages and photographs for the club based in Lincolnshire .
http://espn.go.com/lacrosse/ || Covers the history of lacrosse and its evolution over the serverTransferProhibited . It includes company history on lally , stx , brine and other companies . It also includes pictures of johns hopkins and syracuse university lacrosse teams of over 80 years ago . || ESPN 's lacrosse coverage . Includes college and professional .
http://sites.mpc.com.br/ric/cp400/ecocmain.htm || Mail trs-80 model 100/102/200 emulator for linux , macos x , and pc . || TRS-80 ROM Images .
http://www.tvasa.org/ || LLC . Information on softball tournaments , teams , umpires , and players . || Tidewater Virginia ASA . Information on softball tournaments , teams , umpires , and players .
http://www.playersclubexperience.com/ || Locations , camp information , highlights , clinics , faqs brochure , and contact details . Located in the name . || General information , camps , sessions , and contacts . Located in San Francisco , California , United States .
http://www.midwestyouthtournaments.com/ || Midwest Youth Tournaments california-based boys and girls tournament sponsored by the ggss foundation , a youth and community benefit organization . || An organization committed to promote an exciting and competitive tournament environment for youths in Kentucky and Indiana .
